343.566	85	343.566	-91	343.566	43
343.568	57	343.568	-46	343.568	14
343.57	64	343.57	-41	343.57	41
343.572	74	343.572	-98	343.572	25
343.574	112	343.574	-85	343.574	49
343.576	121	343.576	-56	343.576	93
343.578	139	343.578	-73	343.578	36
343.58	151	343.58	-58	343.58	24
343.582	166	343.582	-21	343.582	62
343.584	181	343.584	-35	343.584	100
343.586	171	343.586	-6	343.586	116
343.588	263	343.588	18	343.588	170
343.59	219	343.59	48	343.59	151
343.592	245	343.592	125	343.592	97
343.594	332	343.594	199	343.594	294
343.596	250	343.596	300	343.596	240
343.598	282	343.598	402	343.598	294
343.6	362	343.6	716	343.6	569
343.602	443	343.602	955	343.602	870
343.604	622	343.604	1079	343.604	1267
343.606	982	343.606	1417	343.606	1751
343.608	723	343.608	1325	343.608	1364
343.61	923	343.61	1379	343.61	1471
343.612	919	343.612	1018	343.612	1198
343.614	998	343.614	794	343.614	1022
343.616	735	343.616	673	343.616	681
343.618	721	343.618	515	343.618	735
343.62	437	343.62	366	343.62	393
343.622	461	343.622	279	343.622	386
343.624	327	343.624	145	343.624	388
343.626	395	343.626	70	343.626	289
343.628	387	343.628	43	343.628	70
343.63	278	343.63	37	343.63	79
343.632	198	343.632	-22	343.632	96
343.634	228	343.634	17	343.634	98
343.636	152	343.636	-62	343.636	136
343.638	194	343.638	-49	343.638	64
343.64	188	343.64	-71	343.64	105
343.642	148	343.642	-76	343.642	71
343.644	150	343.644	-72	343.644	54
343.646	165	343.646	-62	343.646	18
343.648	104	343.648	-102	343.648	42
343.65	83	343.65	-94	343.65	42
343.652	130	343.652	-99	343.652	44
343.654	139	343.654	-105	343.654	41
343.656	66	343.656	-95	343.656	66
343.658	85	343.658	-103	343.658	25
343.66	77	343.66	-62	343.66	17
343.662	98	343.662	-118	343.662	10
343.664	110	343.664	-110	343.664	-11
343.666	110	343.666	-106	343.666	69
343.668	107	343.668	-105	343.668	24
343.67	95	343.67	-107	343.67	31
343.672	131	343.672	-87	343.672	31
343.674	123	343.674	-79	343.674	20
343.676	109	343.676	-41	343.676	51
343.678	146	343.678	-101	343.678	90
343.68	108	343.68	-132	343.68	42
343.682	112	343.682	-101	343.682	198
343.684	97	343.684	-94	343.684	44
343.686	132	343.686	-81	343.686	41
343.688	181	343.688	-42	343.688	54
343.69	133	343.69	-22	343.69	69
343.692	198	343.692	64	343.692	168
343.694	226	343.694	186	343.694	154
343.696	325	343.696	115	343.696	266
343.698	304	343.698	321	343.698	428
343.7	415	343.7	422	343.7	737
